subject,group,slope,delta_log_pi,r_post1,precision_post1,mean_error_early,mean_error_late
EC_002,EC,0.23106944415333341,0.3045217183708338,1.2728184629776829,0.7856579937256407,2.6423055522266665,2.08227083071
EC_003,EC,1.30174999836,0.1960490488687336,3.6258730005683586,0.2757956497216668,2.472972219106667,0.7580312490449999
EC_004,EC,0.7602361101533344,-0.0090261858183224,1.0049567279866556,0.995067719983739,5.8966805481266675,2.70404166326
EC_005,EC,2.6193749966999995,-0.099474567368361,5.192325565592857,0.1925919296406485,7.590013879326667,2.8059062464649998
EC_006,EC,2.039055552986667,-0.239475235802857,3.3505831768484957,0.2984555067636267,3.6194999954400005,2.379927080335
EC_007,EC,1.5345833313999995,1.1459855381949238,0.5528327999502958,1.8088651760349752,3.3072916624999995,1.5292916647400001
EC_008,EC,2.490611107973333,-0.4179691745644294,1.5258572276980114,0.6553693109994654,4.4291249944199995,1.0318749987000002
EC_009,EC,1.9155833309200008,0.259319441760356,0.7524192122912845,1.3290463396791488,3.242027773693334,1.9618854141950002
EC_010,EC,0.13581944427333315,0.0199434417509496,1.6906905238905892,0.5914743034691036,1.3775972204866664,0.6006041659099999
EC_011,EC,5.117041660220001,-0.1596916265330119,0.9477685670730596,1.0551099020810997,5.224638882306667,0.29104166630000006
EC_012,EC,1.5275277758533345,0.2206976580399605,1.9945811592537974,0.5013583906378194,6.584597213926667,3.3853437457349997
EC_013,EC,4.263319439073334,1.0276479157624256,1.3062432916472466,0.765554170799946,4.332111105653334,0.24341666636
EC_014,EC,2.9933194406733326,0.2467097423523614,3.6524670211287984,0.2737875507746403,5.245805548946666,0.7699374990299999
EC_015,EC,1.0177638876066661,-0.1232367903539939,2.7653827932624755,0.3616135901461383,2.358319441473333,1.7885833310800003
EC_016,EC,1.4781388870266665,0.8463283467670089,0.6893291470122175,1.450685792606237,3.32845832914,0.46831249940999997
EC_017,EC,2.92099999632,-0.3334250358670882,1.5503084872072703,0.6450329132890207,5.04295832698,1.14564583189
EC_018,EC,2.3071666637600003,0.784004776245418,1.5833976540409633,0.6315532913970893,3.250847218126667,0.702468749115
EC_019,EC,2.5682222189866666,0.414332216327703,1.9976362204551457,0.5005916441443767,2.9368749963,0.03174999995999996
EC_020,EC,1.2029722207066664,0.927629175831248,0.8025185362780752,1.2460771369067751,1.9120555531466665,0.9882187487550003
EC_021,EC,4.2315694391133345,0.2349073271029457,0.6618533410139621,1.5109087437225834,6.531680547326668,1.05039583201
EC_022,EC,2.6034999967199997,-0.2096878521166496,1.0376635634244105,0.9637034923919692,5.1999444378933335,2.58497916341
EC_023,EC,0.7161388879866671,1.163171964071697,1.7752454455803597,0.5633023886863611,1.0830277764133338,0.863864582245
EC_024,EC,3.4289999956799986,0.7053363690460752,3.7054392155343656,0.2698735404449993,6.002513881326665,0.660135415835
EC_025,EC,1.5187083314200003,1.132945636862794,0.9299766947888296,1.075295763435309,1.869722219866667,1.10595833194
EC_026,EC,2.677583329960001,-0.0131432493695246,0.9909881696618094,1.0090937819583317,4.813652771713334,2.012156247465
EO+_001,EO+,0.8290277767333337,0.0615920951936003,1.5579694749906736,0.6418610993684496,1.3334999983200004,0.56885416595
EO+_002,EO+,3.6829999953600008,-0.1911473091911436,0.9409498750997225,1.0627558666650754,6.26533332544,1.2858749983800002
EO+_003,EO+,3.7059305508866673,0.0139753953137247,2.0358478202520267,0.4911958497350777,4.589638883106668,1.2501562484250002
EO+_004,EO+,1.7391944422533332,0.4402948501692674,2.4210152894560277,0.4130498491088372,2.3036388859866666,0.7606770823750001
EO+_005,EO+,1.5434027758333337,0.0930387300270299,1.5618434972220536,0.6402690165683265,2.7992916631400004,1.289843748375
EO+_006,EO+,2.284236108233334,0.6168651307798214,1.5425864699991632,0.648261876691128,2.324805552626667,0.250031249685
EO+_007,EO+,2.423583330280001,0.156808955661229,1.2190735283563814,0.8202950656702818,4.669013883006667,1.0609791653299998
EO+_008,EO+,1.349374998300001,0.1750182667301387,2.4903577295468424,0.4015487366073969,7.916333323360001,4.95564582709
EO+_009,EO+,1.523999998079999,0.1093532944993618,2.008316369778306,0.4979295170065202,4.51908332764,0.8413749989400001
EO+_010,EO+,4.007555550506668,-0.3943464240307425,1.9556699648016724,0.5113337209233111,7.110236102153334,1.250156248425
EO+_012,EO+,0.9313333321600006,-0.2550627594140088,2.30267205502309,0.4342780804668134,2.4394583302600004,1.6443854145950003
EO+_013,EO+,3.0091944406533333,0.0705269765872068,1.5424271652508557,0.6483288303842619,4.056944439333333,1.8123958310500001
EO+_014,EO+,2.0937361084733332,0.0188557626894004,1.0509823378744694,0.951490775784513,3.7359166619599997,1.7779999977600003
EO+_015,EO+,1.5063611092133333,-0.213542754011603,1.2072764508119875,0.8283106982890472,1.47637499814,0.48815624938499996
EO+_016,EO+,1.2894027761533335,1.8766594286650304,1.1957526594414514,0.8362933522281359,0.9454444432533335,1.0318749987000002
EO+_017,EO+,3.4325277734533333,-0.2368481909634449,2.312311114160128,0.432467756555855,4.62491666084,1.6086666646399999
EO+_018,EO+,2.0919722195866672,0.6238509063732499,1.515826862249638,0.6597059498707527,3.4589861067533336,0.6402916658600001
EO+_019,EO+,1.6615833312399997,0.1982221453350489,0.8801228347381636,1.1362050392630705,1.6845138867666665,0.908843748855
EO+_020,EO+,0.9736666654400006,0.2649369541041599,0.8992865228409189,1.111992645948834,4.702527771853334,2.31510416375
EO+_021,EO+,1.2170833317999998,-0.366139553510741,2.3210814014866754,0.4308336619988813,1.7497777755733332,1.1377083319
EO+_022,EO+,0.22577777749333316,0.6475314242671093,3.409993975560311,0.2932556500589376,3.7905972174466664,-0.3267604162550001
EO+_023,EO+,2.658180552206666,0.8464137387739754,1.6559611912679821,0.6038788863368787,4.025194439373333,1.27264583173
EO+_024,EO+,2.7463749965400006,0.9312845935665908,1.2245693178001105,0.8166136334335566,5.24933332672,0.9921874987500001
EO-_001,EO-,0.9877777765333335,-0.3616952290574322,2.2876682402071284,0.4371263203398141,3.139722218266667,-0.31485416626999996
EO-_002,EO-,3.0215416628600003,-0.3659198745317171,2.7012538815261347,0.3701984500009408,6.829777769173333,2.292614580445
EO-_003,EO-,2.7357916632200014,0.2315374108034054,2.73357793682218,0.3658209215584001,7.717013879166669,2.9368749963000003
EO-_004,EO-,2.3018749970999997,1.2536779958765218,1.5034235291701352,0.6651485629947427,5.38691665988,2.2807083304600004
EO-_005,EO-,5.041194438093333,-0.1097574204845894,4.5196915562032824,0.2212540363794292,6.7468749914999995,1.8878020809550002
EO-_006,EO-,0.91016666552,-0.9603702434796302,3.8852368369151553,0.2573845667524329,1.3052777761333334,1.7436041644699998
EO-_007,EO-,1.5098888869866665,-0.3339542269783681,3.2838479496806885,0.304520798564147,0.9383888877066665,0.96043749879
EO-_008,EO-,2.8257499964400004,0.2647710654610467,2.8883032345481965,0.3462240349415477,5.640916659560001,1.7912291644099998
EO-_009,EO-,0.5926666659199995,0.090017393833629,1.4635533650077748,0.6832685598688011,2.220736108313333,1.6377708312700001
EO-_010,EO-,3.079749996119999,0.0582135815609748,2.270337229828566,0.4404631994144369,5.953124992499999,1.308364581685
EO-_013,EO-,0.7002638880066667,-0.254218357482092,3.0748055664767735,0.3252238160690717,1.0706805542066666,-0.35718749954999995
EO-_014,EO-,0.18520833309999984,-0.2276596386906508,1.31830557794164,0.7585494719375822,1.2082638873666665,1.0054166653999999
EO-_015,EO-,2.8151666631199994,-0.6035746872839814,4.215086966320193,0.2372430291451397,2.9950833295599995,0.19446874975499998
EO-_016,EO-,1.1447638874466668,0.0746860193362335,1.8486440986851262,0.5409370038891012,3.1026805516466665,1.160197915205
EO-_017,EO-,3.109736107193334,0.6052721378787591,1.274000010589779,0.7849293498334157,2.5946805522866674,0.8704791655700002
EO-_018,EO-,2.2754166638,0.1692490751829195,2.678897367270678,0.3732879102489928,2.8151666631200003,1.107281248605
EO-_019,EO-,4.021666661599999,0.9252139452285963,1.1575482395768883,0.8638948821394468,4.796013882846666,0.564885415955
EO-_020,EO-,2.326569441513333,0.4076627671989831,1.4196875685103971,0.7043803314057663,4.55612499426,1.919552080915
EO-_021,EO-,3.257902773673332,1.6599777659781645,1.7864102403349913,0.5597818336579161,8.179152767473333,1.6046979146450002
EO-_022,EO-,1.5028333314399998,0.5770944057699288,1.8522412447764895,0.5398864768939265,4.289777772373333,4.057385411555001
EO-_023,EO-,2.224263886086665,0.2309562393436326,2.3078294901563288,0.4333075750463097,5.256388882266665,1.47637499814
